Input_angles1, Input_angles2, Calc_angles1,Calc_angles2, Voltage1,Voltage2,Voltage3,Voltage4,Calc_angles
0,0,0,0,0,0,0,0,                                                                                                                                 29,-30,55.00,55.00,49.00,46.00,7.77,-1.65,

-25,-23,52.00,52.00,52.00,52.00,0.00,0.00,

-24,-23,53.00,52.00,52.00,53.00,0.00,1.08,

-23,-23,54.00,53.00,52.00,53.00,1.07,1.07,

-22,-23,53.00,53.00,52.00,52.00,1.08,0.00,

-21,-23,52.00,52.00,51.00,52.00,0.55,0.55,

-20,-23,53.00,52.00,52.00,52.00,0.55,0.55,

-19,-23,52.00,52.00,52.00,51.00,0.55,-0.55,

-18,-23,52.00,52.00,49.00,51.00,2.20,1.11,

-17,-23,45.00,53.00,50.00,53.00,-2.78,-2.78,

-16,-23,53.00,52.00,52.00,52.00,0.55,0.55,
